ZIP,state_name,lat_avg,lng_avg,count_qualified,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,number_of_panels_total,kw_total,yearly_sunlight_kwh_total,carbon_offset_metric_tons,existing_installs_count
21875,Maryland,38.44298702,-75.5533769,1195,67.66704417,3215,20416,15839,17266,23604,80340,20085,2.47E+07,15685.0469,1
22003,Virginia,38.83099763,-77.21420803,3646,49.17723226,2793,61210,34229,31220,70359,199811,49952.75,5.90E+07,34663.28863,0
22015,Virginia,38.78793507,-77.28092854,5891,62.44435022,3219,92356,50436,59007,59290,264308,66077,7.89E+07,46335.34163,0
22027,Virginia,38.89568963,-77.22168422,584,83.78766141,68,11753,9706,4590,1198,27315,6828.75,8240386.157,4837.48982,0
22030,Virginia,38.84628107,-77.33328262,8041,70.80214845,13473,158742,105926,92573,336881,707595,176898.75,2.15E+08,126507.0728,12
22031,Virginia,38.86084604,-77.26344912,4185,64.1575962,6550,65502,46719,48819,193075,360665,90166.25,1.09E+08,63974.73038,0
22032,Virginia,38.8193251,-77.2910039,3880,57.24402479,2977,60700,42181,36626,69072,211556,52889,6.32E+07,37073.80459,0
22033,Virginia,38.87572799,-77.38637657,6413,85.91907824,4660,132727,85831,80069,128333,431620,107905,1.32E+08,77259.87167,14
22035,Virginia,38.85661232,-77.36039225,5,100,0,6,17,24,9042,9089,2272.25,2721258.775,1597.505429,0
22039,Virginia,38.75249421,-77.30154773,155,43.17548747,168,3982,1466,1224,521,7361,1840.25,2218277.255,1302.23189,0
