2. TRIFD,3. FRS ID,30. CHEMICAL,33. CLEAN AIR ACT CHEMICAL,37. CARCINOGEN,40. 5.1 - FUGITIVE AIR,42. 5.3 - WATER,54. ON-SITE RELEASE TOTAL
25265MNTNRRTE33,110067041837,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,NO,0,0,13000
2273WDMNNR1225L,110006363960,N-HEXANE,YES,NO,0,0,0
28024DKNRGDUKEP,110006424404,AMMONIA,NO,NO,6300,530,6830
28024DKNRGDUKEP,110006424404,COBALT COMPOUNDS,YES,NO,1,0,20224
96732KHLGN200HO,110000486395,NITRATE COMPOUNDS,NO,NO,0,0,0
43811MRCNL47201,110000605417,VANADIUM COMPOUNDS,NO,NO,5,0,100213
51101GRGNL2761P,110000414114,LEAD COMPOUNDS,YES,NO,0,1,1839
59323MNTNPWILLO,110041982520,VANADIUM COMPOUNDS,NO,NO,3,0,160843
51101GRGNL2761P,110000414114,MERCURY COMPOUNDS,YES,NO,0,0,65.4
36512LBMPWUSHWY,110000741270,BARIUM COMPOUNDS,NO,NO,0,5000,905910
59323MNTNPWILLO,110041982520,NAPHTHALENE,YES,YES,20,0,160
07657BRGNGVICTO,110013716826,AMMONIA,NO,NO,0,0,23380
27530HFLST1677O,110000496552,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,15
61520CLCDC17751,110000437947,VANADIUM COMPOUNDS,NO,NO,5,0,38794.039
61520CLCDC17751,110000437947,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,0,0,0
36512LBMPWUSHWY,110000741270,ZINC COMPOUNDS,NO,NO,0,58,43558
00950PRPPLPR165,110000607950,NAPHTHALENE,YES,YES,0,0.017,141.017
2273WDMNNR1225L,110006363960,"1,2,4-TRIMETHYLBENZENE",NO,NO,0,0,0
36512LBMPWUSHWY,110000741270,HYDROGEN FLUORIDE,YES,NO,0,0,57000
19966NDNRVRTE33,110000603936,AMMONIA,NO,NO,42,0,1755
61520CLCDC17751,110000437947,MERCURY COMPOUNDS,YES,NO,0.002,0,88.866
61520CLCDC17751,110000437947,NAPHTHALENE,YES,YES,0,0,5
7237WPLMPN2732A,110033168391,LEAD COMPOUNDS,YES,NO,0.2,1,9207.1
20608CHLKP25100,110005974286,NAPHTHALENE,YES,YES,0,0,0
98531CNTRL913BI,110000490665,COPPER  and COPPER COMPOUNDS,NO,NO,1,17.79,440.11
96732KHLGN200HO,110000486395,"BENZO(G,H,I)PERYLENE",YES,NO,0,0,0
34428FLRDP15760,110017431215,LEAD  and LEAD COMPOUNDS,YES,NO,19,0,1361
28024DKNRGDUKEP,110006424404,VANADIUM COMPOUNDS,NO,NO,6,85,95881
74434MSKGG5501T,110000860854,HYDROGEN FLUORIDE,YES,NO,0,0,56252
34428FLRDP15760,110017431215,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,NO,300,0,2734
7237WPLMPN2732A,110033168391,ZINC COMPOUNDS,NO,NO,1,52,32007
18015CNCTV2254A,110012565884,AMMONIA,NO,NO,0,0,48254
54221MNTWC1303S,110000421384,BARIUM COMPOUNDS,NO,NO,0.002,0.03,5.532
27573CGNTR331AL,110000347045,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,NO,2.1,0.64,94.74
64504STJSP1413L,110014466069,LEAD COMPOUNDS,YES,NO,0,0,2
7785WKGRVS13MIL,110034504757,VANADIUM COMPOUNDS,NO,NO,2,0,233899
54603NRTHR200SB,110000422524,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,5
27573CGNTR331AL,110000347045,MERCURY  and MERCURY COMPOUNDS,YES,NO,0.012,0.034,0.286
30120BWNST317CO,110000356356,COPPER COMPOUNDS,NO,NO,0,12000,31220
60441WLLCN529ER,110000432933,BARIUM COMPOUNDS,NO,NO,41,905,1199
32177SMNLGUSHWY,110041142304,HYDROGEN FLUORIDE,YES,NO,0,0,9936
77960CLTCRFMRD2,110000599692,MERCURY COMPOUNDS,YES,NO,0,0,72.6
63801SKSTN1551W,110000442548,MANGANESE COMPOUNDS,YES,NO,0,0,8423
54603NRTHR200SB,110000422524,ZINC COMPOUNDS,NO,NO,0,3,14
54603NRTHR200SB,110000422524,COPPER  and COPPER COMPOUNDS,NO,NO,0,0,4
1461WRDRCH12RID,110060261416,LEAD COMPOUNDS,YES,NO,0,78.92,86.94
86040NVJGN5MIOF,110028287725,ARSENIC  and ARSENIC COMPOUNDS,YES,NO,6,0,15840
27573CGNTR331AL,110000347045,COBALT  and COBALT COMPOUNDS,YES,NO,5.2,0.02,52.12
86040NVJGN5MIOF,110028287725,SELENIUM  and SELENIUM COMPOUNDS,YES,NO,4,0,12343
00751PRPGRPRO3K,110000307800,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,0,0,241518
95503PGHMB1000K,110000610278,ACETALDEHYDE,YES,YES,0,0,25302.3
82201LRMRV347GR,110000468075,"1,2,4-TRIMETHYLBENZENE",NO,NO,3975,0,3977
47635RCKPR2791N,110000747924,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,NO,0,0,13000
82201LRMRV347GR,110000468075,HYDROGEN FLUORIDE,YES,NO,0,0,18913
44012FRSTN33570,110000385173,MANGANESE COMPOUNDS,YES,NO,0,0,250.1
53154KCRKP4801E,110000417709,AMMONIA,NO,NO,310,760,201070
65619STHWSWALNU,110055026396,HYDROGEN FLUORIDE,YES,NO,0,0,29685
28682DKNRG8320E,110000351397,ZINC COMPOUNDS,NO,NO,21,870,174191
28682DKNRG8320E,110000351397,HYDROGEN FLUORIDE,YES,NO,0,0,15000
52732DMCRN1251B,110000415630,CHLOROFORM,YES,YES,0,0,64
65619STHWSWALNU,110055026396,MANGANESE COMPOUNDS,YES,NO,0.5,0,17984.5
45153CNCNN1781U,110000392860,MANGANESE COMPOUNDS,YES,NO,1,5600,50741
28682DKNRG8320E,110000351397,MANGANESE COMPOUNDS,YES,NO,22,31000,161152
30286LPSCR95YAM,110001971439,NAPHTHALENE,YES,YES,0,0,0
46392NRTHR2723E,110000493706,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,5038,0,1012552
32226STJHN11201,110000362134,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,NO,10.89,210.05,3204.94
